"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11419","adding item to the cart","chromium","2026-06-11","passed","2026-06-11","","productstore.spec.js","",""
"","7065","signup new user","chromium","2026-06-11","passed","2026-06-11","","signup.spec.js","",""
"","24652","monitor purchase","chromium","2026-06-11","passed","2026-06-11","","purchase.spec.js","",""
"","9668","logout after success login","chromium","2026-06-11","passed","2026-06-11","","logout.spec.js","",""
"","23927","monitor purchase","chromium","2026-06-11","passed","2026-06-11","","productstore.spec.js","",""
"","6647","unsuccess signup","chromium","2026-06-11","passed","2026-06-11","","signup.spec.js","",""
"","6955","Verify login with invalid username and invalid password","chromium","2026-06-10","passed","2026-06-10","","demoblazehome.spec.js","",""
"","8680","logout after success login","chromium","2026-06-10","passed","2026-06-11","","demoblazehome.spec.js","",""
"","3015","has title","chromium","2026-06-11","passed","2026-06-11","","example.spec.js","",""
"","6802","signup new user","chromium","2026-06-10","passed","2026-06-10","","demoblazehome.spec.js","",""
"","7504","Verify login with invalid username and valid password","chromium","2026-06-10","passed","2026-06-10","","demoblazehome.spec.js","",""
"","7580","Verify login with valid credentials","chromium","2026-06-10","passed","2026-06-10","","demoblazehome.spec.js","",""
"","8345","Verify login with valid credentials","chromium","2026-06-11","passed","2026-06-11","","login.spec.js","",""
"","6754","Verify login with invalid username and invalid password","chromium","2026-06-11","passed","2026-06-11","","login.spec.js","",""
"","6688","Verify login with valid username and invalid password","chromium","2026-06-11","passed","2026-06-11","","login.spec.js","",""
"","6321","Verify login with valid username and invalid password","chromium","2026-06-10","passed","2026-06-10","","demoblazehome.spec.js","",""
"","23292","phone purchase","chromium","2026-06-11","passed","2026-06-11","","productstore.spec.js","",""
"","6644","Verify login with invalid username and valid password","chromium","2026-06-11","passed","2026-06-11","","login.spec.js","",""
"","2819","get started link","chromium","2026-06-11","passed","2026-06-11","","example.spec.js","",""
"","6432","unsuccess signup","chromium","2026-06-10","passed","2026-06-10","","demoblazehome.spec.js","",""
"","22705","phone purchase","chromium","2026-06-11","passed","2026-06-11","","purchase.spec.js","",""
"","10370","adding item to the cart","chromium","2026-06-11","passed","2026-06-11","","purchase.spec.js","",""
